,B,C,PB228,PB317,PB411,PB428,PB512,PB602,PB613,CB228,CB317,CB411,CB428,CB512,CB602,CB613,HB228,HB317,HB411,HB428,HB512,HB602,HB613,PC228,PC317,PC411,PC428,PC512,PC602,PC613,CC228,CC317,CC411,CC428,CC512,CC602,CC613,HC228,HC317,HC411,HC428,HC512,HC602,HC613,PBC228,PBC317,PBC411,PBC428,PBC512,PBC602,PBC613,CBC228,CBC317,CBC411,CBC428,CBC512,CBC602,CBC613,HBC228,HBC317,HBC411,HBC428,HBC512,HBC602,HBC613,PCK317,PCK411,PCK428,PCK512,PCK602,PCK613,PCK228,CCK317,CCK411,CCK428,CCK512,CCK602,CCK613,CCK228,HCK317,HCK411,HCK428,HCK512,HCK602,HCK613,HCK228,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu36,1,0,859,185,36,68,13,87,121,17,19,23,6,11,8,2,574,114,96,56,180,147,42,859,2723,552,57,37,99,129,17,14,7,1,6,3,1,574,81,65,63,54,64,151,859,2671,146,134,31,100,230,17,20,3,10,2,6,6,574,90,162,63,50,91,46,6670,657,139,566,348,155,859,35,18,88,9,6,4,17,152,95,58,75,109,139,574,k__Fungi,,,,,,
Zotu754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,,,,,
Zotu884,0,0,8,21,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,8,10,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,8,1,0,17,8,1,0,0,0,1,0,0,0,7,4,0,0,0,1,0,22,4,2,3,0,0,2,8,0,0,0,0,0,0,0,4,0,0,0,0,36,4,k__Fungi,,,,,,
Zotu82,0,0,0,2,7,0,76,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,18,8,144,99,1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,1,22,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,24,1,15,27,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,
Zotu232,0,0,37,20,0,39,35,45,0,2,56,3,11,11,4,0,0,0,0,0,0,0,116,37,14,12,93,19,25,0,2,8,2,2,0,0,0,0,0,0,0,0,0,21,37,10,7,52,19,32,0,2,0,0,0,5,0,0,0,0,0,0,0,0,172,18,28,6,13,22,0,37,2,10,3,70,0,29,2,0,0,0,0,0,432,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,
Zotu312,0,0,64,52,22,179,22,13,0,0,8,4,2,0,0,0,0,2,0,0,0,0,11,64,150,192,75,79,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,169,64,165,65,64,57,26,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,32,115,31,17,91,0,64,6,0,5,0,1,0,0,0,0,0,0,0,20,0,k__Fungi,,,,,,
Zotu53,0,0,530,308,108,42,118,321,424,7,18,59,3,6,0,10,128,107,101,93,204,114,87,530,544,106,107,89,149,271,7,11,5,28,3,0,5,128,299,91,108,446,230,126,530,197,124,402,214,166,211,7,42,1,10,4,5,16,128,30,357,60,94,700,181,375,122,141,60,706,100,530,12,1,10,2,4,0,7,75,275,57,105,73,892,128,k__Fungi,,,,,,
Zotu169,0,0,264,61,44,8,43,24,2,154,11,0,0,18,28,13,0,0,0,0,0,0,30,264,251,235,20,49,57,0,154,5,0,0,0,1,0,0,0,0,0,0,0,305,264,81,220,27,219,4,0,154,33,1,4,8,2,10,0,0,0,0,0,0,103,90,15,116,53,9,0,264,11,8,0,14,18,0,154,0,0,1,0,0,24,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
Zotu455,0,0,88,20,75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,46,127,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,88,18,3,10,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,41,1,0,20,0,88,0,0,0,0,0,0,0,0,0,0,0,0,17,0,k__Fungi,,,,,,
Zotu158,0,0,20,59,0,424,203,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20,1123,0,22,42,68,0,0,0,0,0,0,0,0,0,0,8,0,0,0,24,20,45,4,286,1353,55,0,0,0,0,0,0,0,0,0,0,2,0,0,0,36,118,48,97,201,417,0,20,0,0,0,0,0,0,0,0,0,0,0,0,218,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,,,,
Zotu18,0,0,50,176,34,52,31,85,439,120,2298,620,437,1065,1377,709,1888,882,286,444,238,505,23,50,58,39,50,18,28,485,120,4322,3275,1237,856,2408,2084,1888,169,155,226,151,291,948,50,66,14,290,101,90,121,120,4439,431,1273,660,1084,2083,1888,221,90,128,182,257,76,32,33,4,13,101,391,50,1529,533,3885,1243,379,1496,120,533,174,129,486,348,60,1888,k__Fungi,,,,,,
Zotu2063,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu418,0,0,0,0,0,0,0,5,0,0,0,6,4,23,12,16,0,0,0,0,0,2,0,0,1,4,0,13,1219,8,0,3,1,3,16,45,126,0,0,37,3,155,112,179,0,0,0,1,0,40,16,0,43,12,22,82,38,109,0,0,24,10,4,52,0,0,0,0,0,4,17,0,9,1,16,18,38,5,0,0,0,2,11,1,0,0,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Dactylella,s__Dactylella_atractoides
